Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,40,8,Some Random Commen with Id 0
1,1,4,75,1,Some Random Commen with Id 1
2,1,4,156,8,Some Random Commen with Id 2
3,1,4,39,4,Some Random Commen with Id 3
4,1,4,14,4,Some Random Commen with Id 4
5,1,4,93,3,Some Random Commen with Id 5
6,1,4,162,4,Some Random Commen with Id 6
7,1,4,71,0,Some Random Commen with Id 7
8,2,6,167,5,Some Random Commen with Id 8
9,2,6,66,2,Some Random Commen with Id 9
10,2,6,129,8,Some Random Commen with Id 10
11,2,6,14,6,Some Random Commen with Id 11
12,2,6,37,4,Some Random Commen with Id 12
13,2,6,71,1,Some Random Commen with Id 13
14,2,6,196,1,Some Random Commen with Id 14
15,2,6,144,4,Some Random Commen with Id 15
16,2,6,60,7,Some Random Commen with Id 16
17,3,9,198,7,Some Random Commen with Id 17
18,3,9,11,9,Some Random Commen with Id 18
19,3,9,101,5,Some Random Commen with Id 19
20,3,9,84,9,Some Random Commen with Id 20
21,3,9,41,0,Some Random Commen with Id 21
22,4,2,113,9,Some Random Commen with Id 22
23,4,2,155,6,Some Random Commen with Id 23
24,4,2,8,6,Some Random Commen with Id 24
25,4,2,51,9,Some Random Commen with Id 25
26,4,2,70,3,Some Random Commen with Id 26
27,5,5,174,3,Some Random Commen with Id 27
28,5,5,109,8,Some Random Commen with Id 28
29,5,5,8,5,Some Random Commen with Id 29
30,5,5,15,8,Some Random Commen with Id 30
31,5,5,157,4,Some Random Commen with Id 31
32,5,5,153,7,Some Random Commen with Id 32
33,5,5,56,4,Some Random Commen with Id 33
34,5,5,103,4,Some Random Commen with Id 34
35,5,5,164,5,Some Random Commen with Id 35
36,6,0,168,9,Some Random Commen with Id 36
37,6,0,46,1,Some Random Commen with Id 37
38,8,1,125,1,Some Random Commen with Id 38
39,8,1,110,3,Some Random Commen with Id 39
40,8,1,196,0,Some Random Commen with Id 40
41,8,1,173,7,Some Random Commen with Id 41
42,8,1,131,8,Some Random Commen with Id 42
43,8,1,101,8,Some Random Commen with Id 43
44,8,1,80,7,Some Random Commen with Id 44
45,9,0,116,4,Some Random Commen with Id 45
46,9,0,184,1,Some Random Commen with Id 46
47,9,0,93,8,Some Random Commen with Id 47
48,9,0,184,7,Some Random Commen with Id 48
49,9,0,153,0,Some Random Commen with Id 49
50,10,2,46,5,Some Random Commen with Id 50
51,10,2,114,3,Some Random Commen with Id 51
52,10,2,190,4,Some Random Commen with Id 52
53,10,2,176,1,Some Random Commen with Id 53
54,11,4,126,6,Some Random Commen with Id 54
55,11,4,122,5,Some Random Commen with Id 55
56,11,4,91,1,Some Random Commen with Id 56
57,11,4,82,4,Some Random Commen with Id 57
58,12,7,92,0,Some Random Commen with Id 58
59,12,7,114,7,Some Random Commen with Id 59
60,13,1,130,3,Some Random Commen with Id 60
61,13,1,95,8,Some Random Commen with Id 61
62,13,1,164,7,Some Random Commen with Id 62
63,13,1,21,8,Some Random Commen with Id 63
64,13,1,28,5,Some Random Commen with Id 64
65,13,1,142,3,Some Random Commen with Id 65
66,13,1,148,4,Some Random Commen with Id 66
67,13,1,78,8,Some Random Commen with Id 67
68,13,1,170,4,Some Random Commen with Id 68
69,14,2,151,1,Some Random Commen with Id 69
70,15,0,18,5,Some Random Commen with Id 70
71,15,0,164,9,Some Random Commen with Id 71
72,15,0,130,2,Some Random Commen with Id 72
73,16,7,187,8,Some Random Commen with Id 73
74,18,3,131,7,Some Random Commen with Id 74
75,18,3,150,0,Some Random Commen with Id 75
76,18,3,32,7,Some Random Commen with Id 76
77,18,3,176,8,Some Random Commen with Id 77
78,18,3,76,2,Some Random Commen with Id 78
79,18,3,79,3,Some Random Commen with Id 79
80,19,3,34,8,Some Random Commen with Id 80
81,19,3,54,9,Some Random Commen with Id 81
82,19,3,164,5,Some Random Commen with Id 82
83,19,3,97,1,Some Random Commen with Id 83
84,19,3,44,0,Some Random Commen with Id 84
85,19,3,154,9,Some Random Commen with Id 85
86,19,3,29,9,Some Random Commen with Id 86
87,20,6,117,7,Some Random Commen with Id 87
88,20,6,2,0,Some Random Commen with Id 88
89,20,6,178,3,Some Random Commen with Id 89
90,20,6,88,3,Some Random Commen with Id 90
91,20,6,160,5,Some Random Commen with Id 91
92,20,6,36,8,Some Random Commen with Id 92
93,20,6,120,6,Some Random Commen with Id 93
94,21,1,91,2,Some Random Commen with Id 94
95,23,4,174,9,Some Random Commen with Id 95
96,23,4,139,9,Some Random Commen with Id 96
97,23,4,157,0,Some Random Commen with Id 97
98,23,4,13,7,Some Random Commen with Id 98
99,23,4,40,3,Some Random Commen with Id 99
100,24,7,191,5,Some Random Commen with Id 100
101,24,7,5,7,Some Random Commen with Id 101
102,24,7,99,0,Some Random Commen with Id 102
103,24,7,191,3,Some Random Commen with Id 103
104,25,3,9,3,Some Random Commen with Id 104
105,25,3,109,9,Some Random Commen with Id 105
106,25,3,3,8,Some Random Commen with Id 106
107,25,3,113,8,Some Random Commen with Id 107
108,25,3,12,5,Some Random Commen with Id 108
109,26,3,171,9,Some Random Commen with Id 109
110,26,3,17,6,Some Random Commen with Id 110
111,26,3,39,2,Some Random Commen with Id 111
112,26,3,162,1,Some Random Commen with Id 112
113,26,3,167,8,Some Random Commen with Id 113
114,26,3,102,2,Some Random Commen with Id 114
115,27,0,179,4,Some Random Commen with Id 115
116,27,0,18,0,Some Random Commen with Id 116
117,27,0,93,9,Some Random Commen with Id 117
118,27,0,141,1,Some Random Commen with Id 118
119,27,0,96,4,Some Random Commen with Id 119
120,27,0,161,6,Some Random Commen with Id 120
121,27,0,102,4,Some Random Commen with Id 121
122,27,0,121,8,Some Random Commen with Id 122
123,27,0,16,8,Some Random Commen with Id 123
124,29,5,23,3,Some Random Commen with Id 124
125,29,5,103,0,Some Random Commen with Id 125
126,29,5,20,1,Some Random Commen with Id 126
127,29,5,178,4,Some Random Commen with Id 127
128,29,5,25,9,Some Random Commen with Id 128
129,30,9,180,1,Some Random Commen with Id 129
130,30,9,158,8,Some Random Commen with Id 130
131,30,9,106,2,Some Random Commen with Id 131
132,30,9,54,7,Some Random Commen with Id 132
133,30,9,198,6,Some Random Commen with Id 133
134,30,9,123,2,Some Random Commen with Id 134
135,30,9,184,7,Some Random Commen with Id 135
136,31,4,153,7,Some Random Commen with Id 136
137,31,4,3,5,Some Random Commen with Id 137
138,31,4,186,8,Some Random Commen with Id 138
139,31,4,152,5,Some Random Commen with Id 139
140,31,4,124,9,Some Random Commen with Id 140
141,31,4,129,2,Some Random Commen with Id 141
142,31,4,146,6,Some Random Commen with Id 142
143,31,4,88,2,Some Random Commen with Id 143
144,33,5,163,8,Some Random Commen with Id 144
145,33,5,76,7,Some Random Commen with Id 145
146,33,5,89,4,Some Random Commen with Id 146
147,34,2,75,1,Some Random Commen with Id 147
148,34,2,148,5,Some Random Commen with Id 148
149,34,2,174,0,Some Random Commen with Id 149
150,34,2,137,1,Some Random Commen with Id 150
151,35,0,75,4,Some Random Commen with Id 151
152,35,0,138,6,Some Random Commen with Id 152
153,36,3,89,9,Some Random Commen with Id 153
154,37,6,8,5,Some Random Commen with Id 154
155,37,6,36,0,Some Random Commen with Id 155
156,38,6,69,3,Some Random Commen with Id 156
157,38,6,196,8,Some Random Commen with Id 157
158,38,6,12,9,Some Random Commen with Id 158
159,38,6,32,3,Some Random Commen with Id 159
160,38,6,151,1,Some Random Commen with Id 160
161,38,6,68,7,Some Random Commen with Id 161
162,39,7,60,9,Some Random Commen with Id 162
